ID,understood consent,voluntary consent,publication consent,data storage consent,mainconsent-1,vision/hearing,cognitive/dyslexia,prop_distraction,headphones,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Viewport Size,same_day,age,gender,nationality,location,abroad,education,L1,dialect,dialect_additions,age of onset,length of study,abroad_stay,length of stay,English qualification,English qual_additions,L3,L3_additions,listeningprofscore,readingprofscore,writingprofscore,speakingprofscore,sum_prof,mean_prof,level,prof_test_score,mean_test,Englishhours_listen,Arabichours_listen,Otherhours_listen,Englishhours_read,Arabichours_read,Otherhours_read,Englishhours_interact,Arabichours_interact,Otherhours_interact,prop_English_hours,prop_English_lit_hours,prop_Arabic_hours,prop_arabic_lit_hours
5335791,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1536x714,1,28,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Najdi,12,13,no,none,Undergraduate Degree,BA,none,,5,5,4,5,19,4.75,advanced,12,1,7,7,0,12,5,0,5,11,0,0.51,0.25,0.489361702,0.106382979
5339069,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1280x609,1,26,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,,10,17,yes,> 6 months,IELTS,,none,,3,4,4,5,16,4,intermediate,9,0.75,4,14,2,4,7,0,2,10,0,0.23,0.09,0.720930233,0.162790698
5337115,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1366x657,1,41,f,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,Najdi Northern,10,6,no,none,none,,none,,3,5,5,1,14,3.5,beginner,5,0.42,1,12,0,1,15,0,2,15,0,0.09,0.02,0.913043478,0.326086957
5341798,Yes,Yes,Yes,Yes,Yes,No,Yes,0.3,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,832x342,1,30,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Hijazi,7,12,no,none,Postgraduate Degree,MA Linguistics,Turkish,,5,5,5,5,20,5,nearnative,12,1,6,12,8,8,10,1,12,13,0,0.37,0.11,0.5,0.142857143
5341802,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.07,no_headphones,computer,Desktop or Laptop,Mac OS,Safari,1440x837,1,37,f,Jordanian,Jordan,no,doctorate,Arabic,Palestinian,,13,7,no,none,CEFR,B2,Turkish,,4,3,3,4,14,3.5,intermediate,9,0.75,3,17,5,2,12,5,3,14,5,0.12,0.03,0.651515152,0.181818182
5338152,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.37,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,750x346,1,33,f,Saudi,UK,yes,masters,Arabic,Saudi,,12,13,yes,> 1 year,Postgraduate Degree,MA,none,,4,5,4,3,16,4,advanced,12,1,4,3,1,4,2,0,2,2,0,0.56,0.22,0.388888889,0.111111111
5338811,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,724x325,1,33,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,Najdi,29,6,no,none,none,,none,,1,3,1,0,5,1.25,beginner,9,0.75,1,21,0,1,23,0,1,21,0,0.04,0.01,0.955882353,0.338235294
5337579,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.56,earphones,mobile,Huawei LYA-L09,Android,Chrome,755x279,1,31,f,Syrian,UK,yes,secondary,Arabic,Syrian,,7,6,yes,> 1 year,ESOL,Level 1,none,,4,3,3,3,13,3.25,advanced,7,0.58,12,11,2,1,15,0,12,9,0,0.4,0.02,0.564516129,0.241935484
5338948,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.54,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,750x304,1,25,f,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,Najdi,17,8,yes,> 6 months,Undergraduate Degree,BA,Spanish,,5,4,4,5,18,4.5,advanced,9,0.75,10,19,8,9,19,7,9,19,7,0.26,0.08,0.53271028,0.177570093
5337166,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.17,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,667x325,1,22,f,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,,17,13,no,none,none,,none,,4,3,1,2,10,2.5,intermediate,9,0.75,2,10,0,1,4,0,0,4,0,0.14,0.05,0.857142857,0.19047619
